,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
1,Заглушка 219х6 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,219х6,Заглушка,Металлопрокат
0,Заглушка 273х7 (250) эллиптическая ГОСТ 17379-2001,ст20,1 155.00,Армасети Мск (495) 137-58-03,,Москва,273х7,Заглушка,Металлопрокат
1,Заглушка 273х7 (250) эллиптическая ГОСТ 17379-2001,ст20,1 155.00,Армасети Екб (343) 226-09-76,,Екатеринбург,273х7,Заглушка,Металлопрокат
2,Заглушка 273х7 (250) эллиптическая ГОСТ 17379-2001,ст20,1 155.00,Армасети Нск (383) 209-56-40,,Новосибирск,273х7,Заглушка,Металлопрокат
0,Заглушка 273х8 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,273х8,Заглушка,Металлопрокат
0,Заглушка 273х12 (250) эллиптическая ГОСТ 17379-2001,ст20,2 896.00,Армасети Екб (343) 226-09-76,,Екатеринбург,273х12,Заглушка,Металлопрокат
0,Заглушка 325х8 эллиптическая ГОСТ 17379-2001,ст20,1 559.80,Армасети Нск (383) 209-56-40,,Новосибирск,325х8,Заглушка,Металлопрокат
1,Заглушка 325х8 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,325х8,Заглушка,Металлопрокат
0,Заглушка 325х10 эллиптическая ГОСТ 17379-2001,ст20,2 232.00,Армасети Нск (383) 209-56-40,,Новосибирск,325х10,Заглушка,Металлопрокат
1,Заглушка 325х10 эллиптическая ГОСТ 17379-2001,ст20,4 230.00,Армасети Екб (343) 226-09-76,,Екатеринбург,325х10,Заглушка,Металлопрокат
2,Заглушка 325х10 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,325х10,Заглушка,Металлопрокат
0,Заглушка 377х10 эллиптическая ГОСТ 17379-2001,ст20,3 760.00,Армасети Мск (495) 137-58-03,,Москва,377х10,Заглушка,Металлопрокат
1,Заглушка 377х10 эллиптическая ГОСТ 17379-2001,ст20,3 760.00,Армасети Нск (383) 209-56-40,,Новосибирск,377х10,Заглушка,Металлопрокат
2,Заглушка 377х10 эллиптическая ГОСТ 17379-2001,09Г2С,5 103.00,Армасети Екб (343) 226-09-76,,Екатеринбург,377х10,Заглушка,Металлопрокат
3,Заглушка 377х10 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,377х10,Заглушка,Металлопрокат
0,Заглушка 400х5 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,400х5,Заглушка,Металлопрокат
0,Заглушка 400х10 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,400х10,Заглушка,Металлопрокат
0,Заглушка 400х12 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,400х12,Заглушка,Металлопрокат
