,Наименование,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
1,Муфта ПНД 125 PN 16 SDR 11 ПЭ 100 электросварная Type A TEGA,889.00,Сантехкомплект Мск (495) 645-00-00,,Москва,125,Муфта ПНД,Металлопрокат
2,Муфта ПНД 125 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,1 625.90,Сантехкомплект Мск (495) 645-00-00,,Москва,125,Муфта ПНД,Металлопрокат
3,Муфта ПНД 125 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL125A,1 881.10,Сантехкомплект Мск (495) 645-00-00,,Москва,125,Муфта ПНД,Металлопрокат
4,Муфта ПНД 125 PN 25 SDR 7.4 ПЭ 100 электросварная EUROSTANDARD,2 287.20,Сантехкомплект Мск (495) 645-00-00,,Москва,125,Муфта ПНД,Металлопрокат
0,Муфта ПНД 140 SDR 11 электросварная TEGA,1 080.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,140,Муфта ПНД,Металлопрокат
1,Муфта ПНД 140 PN 16 SDR 11 ПЭ 100 электросварная Type A TEGA,1 173.70,Сантехкомплект Мск (495) 645-00-00,,Москва,140,Муфта ПНД,Металлопрокат
2,Муфта ПНД 140 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,2 045.50,Сантехкомплект Мск (495) 645-00-00,,Москва,140,Муфта ПНД,Металлопрокат
3,Муфта ПНД 140 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL140A,2 148.80,Сантехкомплект Мск (495) 645-00-00,,Москва,140,Муфта ПНД,Металлопрокат
4,Муфта ПНД 140 PN 25 SDR 7.4 ПЭ 100 электросварная EUROSTANDARD,2 928.50,Сантехкомплект Мск (495) 645-00-00,,Москва,140,Муфта ПНД,Металлопрокат
0,Муфта ПНД 160 SDR 11 электросварная TEGA,1 140.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,160,Муфта ПНД,Металлопрокат
1,Муфта ПНД 160 PN 16 SDR 11 ПЭ 100 электросварная Type A TEGA,1 438.60,Сантехкомплект Мск (495) 645-00-00,,Москва,160,Муфта ПНД,Металлопрокат
2,Муфта ПНД 160 PN 10 SDR 17 ПЭ 100 электросварная EUROSTANDARD,1 939.70,Сантехкомплект Мск (495) 645-00-00,,Москва,160,Муфта ПНД,Металлопрокат
3,Муфта ПНД 160 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,2 178.00,Сантехкомплект Мск (495) 645-00-00,,Москва,160,Муфта ПНД,Металлопрокат
4,Муфта ПНД 160 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL160A,2 282.80,Сантехкомплект Мск (495) 645-00-00,,Москва,160,Муфта ПНД,Металлопрокат
0,Муфта ПНД 180 SDR 11 электросварная,1 253.48,МК Промстройметалл Мск (495) 617-17-17,,Москва,180,Муфта ПНД,Металлопрокат
1,Муфта ПНД 180 SDR 11 электросварная TEGA,1 736.40,МК Промстройметалл Мск (495) 617-17-17,,Москва,180,Муфта ПНД,Металлопрокат
2,Муфта ПНД 180 PN 16 SDR 11 ПЭ 100 электросварная Type A TEGA,1 887.50,Сантехкомплект Мск (495) 645-00-00,,Москва,180,Муфта ПНД,Металлопрокат
3,Муфта ПНД 180 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,3 252.70,Сантехкомплект Мск (495) 645-00-00,,Москва,180,Муфта ПНД,Металлопрокат
4,Муфта ПНД 180 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL180A,4 297.80,Сантехкомплект Мск (495) 645-00-00,,Москва,180,Муфта ПНД,Металлопрокат
0,Муфта ПНД 200 SDR 11 электросварная,2 187.01,МК Промстройметалл Мск (495) 617-17-17,,Москва,200,Муфта ПНД,Металлопрокат
1,Муфта ПНД 200 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL200A,4 030.10,Сантехкомплект Мск (495) 645-00-00,,Москва,200,Муфта ПНД,Металлопрокат
2,Муфта ПНД 200 PN 10 SDR 17 ПЭ 100 электросварная EUROSTANDARD,4 030.20,Сантехкомплект Мск (495) 645-00-00,,Москва,200,Муфта ПНД,Металлопрокат
3,Муфта ПНД 200 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,4 140.60,Сантехкомплект Мск (495) 645-00-00,,Москва,200,Муфта ПНД,Металлопрокат
4,Муфта ПНД 200 PN 16 SDR 11 ПЭ 100 электросварная Type A TEGA,4 235.30,Сантехкомплект Мск (495) 645-00-00,,Москва,200,Муфта ПНД,Металлопрокат
0,Муфта ПНД 225 SDR 11 ПЭ 100 электросварная ЮУП,2 764.80,МК Промстройметалл Мск (495) 617-17-17,,Москва,225,Муфта ПНД,Металлопрокат
1,Муфта ПНД 225 SDR 11 электросварная Газ,3 000.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,225,Муфта ПНД,Металлопрокат
2,Муфта ПНД 225 PN 10 SDR 17 ПЭ 100 электросварная EUROSTANDARD,4 416.70,Сантехкомплект Мск (495) 645-00-00,,Москва,225,Муфта ПНД,Металлопрокат
3,Муфта ПНД 225 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,4 692.70,Сантехкомплект Мск (495) 645-00-00,,Москва,225,Муфта ПНД,Металлопрокат
4,Муфта ПНД 225 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL225A,5 223.10,Сантехкомплект Мск (495) 645-00-00,,Москва,225,Муфта ПНД,Металлопрокат
0,Муфта ПНД 250 SDR 11 электросварная,3 559.02,МК Промстройметалл Мск (495) 617-17-17,,Москва,250,Муфта ПНД,Металлопрокат
1,Муфта ПНД 250 SDR 11 электросварная TEGA,4 449.60,МК Промстройметалл Мск (495) 617-17-17,,Москва,250,Муфта ПНД,Металлопрокат
2,Муфта ПНД 250 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL250A,7 519.90,Сантехкомплект Мск (495) 645-00-00,,Москва,250,Муфта ПНД,Металлопрокат
3,Муфта ПНД 250 PN 10 SDR 17 ПЭ 100 электросварная EUROSTANDARD,7 545.10,Сантехкомплект Мск (495) 645-00-00,,Москва,250,Муфта ПНД,Металлопрокат
4,Муфта ПНД 250 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,8 762.50,Сантехкомплект Мск (495) 645-00-00,,Москва,250,Муфта ПНД,Металлопрокат
0,Муфта ПНД 280 SDR 11 электросварная TEGA,5 365.20,МК Промстройметалл Мск (495) 617-17-17,,Москва,280,Муфта ПНД,Металлопрокат
1,Муфта ПНД 280 PN 10 SDR 17 ПЭ 100 электросварная EUROSTANDARD,8 849.90,Сантехкомплект Мск (495) 645-00-00,,Москва,280,Муфта ПНД,Металлопрокат
2,Муфта ПНД 280 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL280A,9 058.20,Сантехкомплект Мск (495) 645-00-00,,Москва,280,Муфта ПНД,Металлопрокат
3,Муфта ПНД 280 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,9 885.10,Сантехкомплект Мск (495) 645-00-00,,Москва,280,Муфта ПНД,Металлопрокат
0,Муфта ПНД 315 SDR 11 ПЭ 100,5 851.63,МК Промстройметалл Мск (495) 617-17-17,,Москва,315,Муфта ПНД,Металлопрокат
1,Муфта ПНД 315 SDR 11 электросварная TEGA,6 398.70,МК Промстройметалл Мск (495) 617-17-17,,Москва,315,Муфта ПНД,Металлопрокат
2,Муфта ПНД 315 SDR 11 электросварная Газ,7 636.50,МК Промстройметалл Мск (495) 617-17-17,,Москва,315,Муфта ПНД,Металлопрокат
3,Муфта ПНД 315 PN 10 SDR 17 ПЭ 100 электросварная EUROSTANDARD,10 581.60,Сантехкомплект Мск (495) 645-00-00,,Москва,315,Муфта ПНД,Металлопрокат
