,Наименование,Длина,"Цена за 1т, руб. с НДС","Цена за 1т, руб. с НДС.1",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
47,Арматура Ат800 12,7.6,62 500,,ДиПОС Мск (495) 504-25-06,,Москва,12,Арматура Ат800,Металлопрокат
48,Арматура Ат800 12,7.6,62 800 >15т,63 100 5-15т,Металлоторг Нал (8662) 77-95-00,,Нальчик,12,Арматура Ат800,Металлопрокат
49,Арматура Ат800 12,6.7,62 800 >15т,63 100 5-15т,Металлоторг Нал (8662) 77-95-00,,Нальчик,12,Арматура Ат800,Металлопрокат
50,Арматура Ат800 12,7.6,62 800 >15т,63 100 5-15т,Металлоторг Пят (8793) 36-62-00,,Пятигорск,12,Арматура Ат800,Металлопрокат
51,Арматура Ат800 12,6.7,62 800 >15т,63 100 5-15т,Металлоторг Пят (8793) 36-62-00,,Пятигорск,12,Арматура Ат800,Металлопрокат
52,Арматура Ат800 12,6.7,62 800 >15т,63 100 5-15т,Металлоторг Крдр (861) 214-34-33,,Краснодар,12,Арматура Ат800,Металлопрокат
53,Арматура Ат800 12,7.6,62 800 >15т,63 100 5-15т,Металлоторг Став (8652) 50-11-81,,Ставрополь,12,Арматура Ат800,Металлопрокат
54,Арматура Ат800 12,6.7,62 800 >15т,63 100 5-15т,Металлоторг Став (8652) 50-11-81,,Ставрополь,12,Арматура Ат800,Металлопрокат
55,Арматура Ат800 12 2ф,10.05,63 240 >1т,63 860 <1т,ЕВРАЗ Маркет Лип (800) 511-09-53,,Липецк,12,Арматура Ат800,Металлопрокат
56,Арматура Ат800 12,,63 500,65 500 1-5т,Металл Индустрия Крдр (861) 279-17-00,,Краснодар,12,Арматура Ат800,Металлопрокат
57,Арматура Ат800 12,6.7,63 700,,РегионСталь Мск (495) 134-05-10,,Москва,12,Арматура Ат800,Металлопрокат
58,Арматура Ат800 12,7.6,63 700,,РегионСталь Мск (495) 134-05-10,,Москва,12,Арматура Ат800,Металлопрокат
59,Арматура Ат800 12,7.6,64 500,,Брок-Инвест-Сервис и К НН (831) 429-06-25,,Нижний Новгород,12,Арматура Ат800,Металлопрокат
60,Арматура Ат800 12 2ф,6.7,64 520 >1т,65 150 <1т,ЕВРАЗ Маркет Орен (800) 511-09-53,,Оренбург,12,Арматура Ат800,Металлопрокат
